Fecha,P
2011-01-09,2
2011-01-16,2
2011-01-23,0
2011-01-30,0
2011-02-06,0
2011-02-13,4
2011-02-20,0
2011-02-27,0
2011-03-06,0
2011-03-13,4
2011-03-20,0
2011-03-27,0
2011-04-03,0
2011-04-10,3
2011-04-17,1
2011-04-24,0
2011-05-01,0
2011-05-08,1
2011-05-15,3
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,6
2011-06-19,0
2011-06-26,0
2011-07-03,1
2011-07-10,3
2011-07-17,3
2011-07-24,3
2011-07-31,3
2011-08-07,0
2011-08-14,5
2011-08-21,5
2011-08-28,3
2011-09-04,3
2011-09-11,2
2011-09-18,8
2011-09-25,8
2011-10-02,8
2011-10-09,1
2011-10-16,6
2011-10-23,6
2011-10-30,6
2011-11-06,1
2011-11-13,5
2011-11-20,6
2011-11-27,7
2011-12-04,4
2011-12-11,3
2011-12-18,10
2011-12-25,6
2012-01-01,6
2012-01-08,6
2012-01-15,4
2012-01-22,10
2012-01-29,8
2012-02-05,9
2012-02-12,4
2012-02-19,8
2012-02-26,7
2012-03-04,12
2012-03-11,10
2012-03-18,9
2012-03-25,6
2012-04-01,10
2012-04-08,5
2012-04-15,7
2012-04-22,8
2012-04-29,7
2012-05-06,5
2012-05-13,7
2012-05-20,8
2012-05-27,8
2012-06-03,12
2012-06-10,7
2012-06-17,12
2012-06-24,8
2012-07-01,7
2012-07-08,9
2012-07-15,9
2012-07-22,8
2012-07-29,9
2012-08-05,8
2012-08-12,9
2012-08-19,8
2012-08-26,7
2012-09-02,9
2012-09-09,12
2012-09-16,7
2012-09-23,9
2012-09-30,9
2012-10-07,9
2012-10-14,7
2012-10-21,10
2012-10-28,9
2012-11-04,8
2012-11-11,4
2012-11-18,9
2012-11-25,10
2012-12-02,11
2012-12-09,12
2012-12-16,5
2012-12-23,11
2012-12-30,7
2013-01-06,5
2013-01-13,3
2013-01-20,12
2013-01-27,11
2013-02-03,10
2013-02-10,17
2013-02-17,6
2013-02-24,8
2013-03-03,10
2013-03-10,9
2013-03-17,7
2013-03-24,10
2013-03-31,1
2013-04-07,14
2013-04-14,6
2013-04-21,9
2013-04-28,17
2013-05-05,10
2013-05-12,14
2013-05-19,11
2013-05-26,10
2013-06-02,11
2013-06-09,9
2013-06-16,6
2013-06-23,14
2013-06-30,11
2013-07-07,8
2013-07-14,7
2013-07-21,10
2013-07-28,11
2013-08-04,12
2013-08-11,15
2013-08-18,5
2013-08-25,7
2013-09-01,6
2013-09-08,9
2013-09-15,9
2013-09-22,11
2013-09-29,13
2013-10-06,10
2013-10-13,12
2013-10-20,13
2013-10-27,14
2013-11-03,16
2013-11-10,11
2013-11-17,9
2013-11-24,11
2013-12-01,13
2013-12-08,11
2013-12-15,7
2013-12-22,13
2013-12-29,9
2014-01-05,7
2014-01-12,12
2014-01-19,13
2014-01-26,14
2014-02-02,12
2014-02-09,9
2014-02-16,5
2014-02-23,8
2014-03-02,10
2014-03-09,10
2014-03-16,16
2014-03-23,10
2014-03-30,9
2014-04-06,8
2014-04-13,11
2014-04-20,1
2014-04-27,12
2014-05-04,9
2014-05-11,12
2014-05-18,13
2014-05-25,10
2014-06-01,10
2014-06-08,10
2014-06-15,8
2014-06-22,15
2014-06-29,10
2014-07-06,16
2014-07-13,6
2014-07-20,13
2014-07-27,11
2014-08-03,10
2014-08-10,15
2014-08-17,7
2014-08-24,13
2014-08-31,11
2014-09-07,11
2014-09-14,7
2014-09-21,12
2014-09-28,13
2014-10-05,13
2014-10-12,19
2014-10-19,10
2014-10-26,10
2014-11-02,16
2014-11-09,12
2014-11-16,9
2014-11-23,10
2014-11-30,13
2014-12-07,7
2014-12-14,11
2014-12-21,13
2014-12-28,5
2015-01-04,5
2015-01-11,5
2015-01-18,17
2015-01-25,14
2015-02-01,15
2015-02-08,10
2015-02-15,11
2015-02-22,12
2015-03-01,11
2015-03-08,16
2015-03-15,13
2015-03-22,13
2015-03-29,8
2015-04-05,5
2015-04-12,15
2015-04-19,13
2015-04-26,15
2015-05-03,20
2015-05-10,15
2015-05-17,20
2015-05-24,11
2015-05-31,16
2015-06-07,16
2015-06-14,1
2015-06-21,9
2015-06-28,17
2015-07-05,14
2015-07-12,5
2015-07-19,14
2015-07-26,11
2015-08-02,14
2015-08-09,12
2015-08-16,7
2015-08-23,9
2015-08-30,11
2015-09-06,13
2015-09-13,27
2015-09-20,11
2015-09-27,14
2015-10-04,11
2015-10-11,18
2015-10-18,15
2015-10-25,13
2015-11-01,14
2015-11-08,11
2015-11-15,15
2015-11-22,15
2015-11-29,19
2015-12-06,14
2015-12-13,7
2015-12-20,11
2015-12-27,9
2016-01-03,11
2016-01-10,11
2016-01-17,13
2016-01-24,20
2016-01-31,15
2016-02-07,15
2016-02-14,6
2016-02-21,11
2016-02-28,11
2016-03-06,6
2016-03-13,8
2016-03-20,11
2016-03-27,0
2016-04-03,16
2016-04-10,8
2016-04-17,11
2016-04-24,14
2016-05-01,16
2016-05-08,13
2016-05-15,13
2016-05-22,15
2016-05-29,15
2016-06-05,15
2016-06-12,11
2016-06-19,16
2016-06-26,15
2016-07-03,16
2016-07-10,12
2016-07-17,7
2016-07-24,9
2016-07-31,12
2016-08-07,10
2016-08-14,6
2016-08-21,8
2016-08-28,11
2016-09-04,14
2016-09-11,13
2016-09-18,11
2016-09-25,16
2016-10-02,11
2016-10-09,8
2016-10-16,12
2016-10-23,11
2016-10-30,14
2016-11-06,16
2016-11-13,10
2016-11-20,10
2016-11-27,14
2016-12-04,14
2016-12-11,9
2016-12-18,12
2016-12-25,11
2017-01-01,10
2017-01-08,8
2017-01-15,8
2017-01-22,13
2017-01-29,13
2017-02-05,17
2017-02-12,9
2017-02-19,11
2017-02-26,12
2017-03-05,18
2017-03-12,5
2017-03-19,10
2017-03-26,10
2017-04-02,14
2017-04-09,17
2017-04-16,5
2017-04-23,12
2017-04-30,13
2017-05-07,15
2017-05-14,7
2017-05-21,11
2017-05-28,9
2017-06-04,14
2017-06-11,7
2017-06-18,13
2017-06-25,12
2017-07-02,18
2017-07-09,13
2017-07-16,13
2017-07-23,10
2017-07-30,13
2017-08-06,10
2017-08-13,7
2017-08-20,11
2017-08-27,11
2017-09-03,11
2017-09-10,8
2017-09-17,6
2017-09-24,15
2017-10-01,15
2017-10-08,16
2017-10-15,6
2017-10-22,12
2017-10-29,10
2017-11-05,14
2017-11-12,14
2017-11-19,10
2017-11-26,10
2017-12-03,14
2017-12-10,12
2017-12-17,10
2017-12-24,11
2017-12-31,10
2018-01-07,7
2018-01-14,8
2018-01-21,17
2018-01-28,16
2018-02-04,21
2018-02-11,12
2018-02-18,12
2018-02-25,10
2018-03-04,12
2018-03-11,21
2018-03-18,11
2018-03-25,10
2018-04-01,3
2018-04-08,10
2018-04-15,12
2018-04-22,12
2018-04-29,13
2018-05-06,12
2018-05-13,11
2018-05-20,11
2018-05-27,12
2018-06-03,13
2018-06-10,13
2018-06-17,14
2018-06-24,15
2018-07-01,14
2018-07-08,9
2018-07-15,7
2018-07-22,12
2018-07-29,12
2018-08-05,13
2018-08-12,11
2018-08-19,13
2018-08-26,12
2018-09-02,16
2018-09-09,14
2018-09-16,13
2018-09-23,12
2018-09-30,14
2018-10-07,9
2018-10-14,15
2018-10-21,11
2018-10-28,12
2018-11-04,15
2018-11-11,15
2018-11-18,12
2018-11-25,9
2018-12-02,18
2018-12-09,12
2018-12-16,7
2018-12-23,15
2018-12-30,6
2019-01-06,2
2019-01-13,10
2019-01-20,15
2019-01-27,15
2019-02-03,18
2019-02-10,20
2019-02-17,11
2019-02-24,13
2019-03-03,11
2019-03-10,13
2019-03-17,12
2019-03-24,13
2019-03-31,11
2019-04-07,21
2019-04-14,10
2019-04-21,2
2019-04-28,17
2019-05-05,12
2019-05-12,18
2019-05-19,15
2019-05-26,11
2019-06-02,13
2019-06-09,15
2019-06-16,11
2019-06-23,15
2019-06-30,14
2019-07-07,11
2019-07-14,6
2019-07-21,14
2019-07-28,17
2019-08-04,19
2019-08-11,15
2019-08-18,14
2019-08-25,11
2019-09-01,17
2019-09-08,12
2019-09-15,9
2019-09-22,14
2019-09-29,16
2019-10-06,14
2019-10-13,10
2019-10-20,17
2019-10-27,13
2019-11-03,21
2019-11-10,15
2019-11-17,13
2019-11-24,15
2019-12-01,15
2019-12-08,14
2019-12-15,11
2019-12-22,17
2019-12-29,6
2020-01-05,7
2020-01-12,0
2020-01-19,19
2020-01-26,21
2020-02-02,19
2020-02-09,3
2020-02-16,6
2020-02-23,15
2020-03-01,17
2020-03-08,6
2020-03-15,2
2020-03-22,7
2020-03-29,0
2020-04-05,6
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,6
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,5
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,7
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,4
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,6
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,10
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,5
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,6
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,2
2021-01-17,3
2021-01-24,0
2021-01-31,0
2021-02-07,9
2021-02-14,11
2021-02-21,1
2021-02-28,3
2021-03-07,0
2021-03-14,14
2021-03-21,7
2021-03-28,6
2021-04-04,4
2021-04-11,5
2021-04-18,10
2021-04-25,10
2021-05-02,6
2021-05-09,4
2021-05-16,4
2021-05-23,3
2021-05-30,0
2021-06-06,4
2021-06-13,13
2021-06-20,3
2021-06-27,11
2021-07-04,6
2021-07-11,10
2021-07-18,14
2021-07-25,9
2021-08-01,13
2021-08-08,8
2021-08-15,3
2021-08-22,8
2021-08-29,10
2021-09-05,9
2021-09-12,14
2021-09-19,11
2021-09-26,13
2021-10-03,14
2021-10-10,6
2021-10-17,16
2021-10-24,10
2021-10-31,14
2021-11-07,4
2021-11-14,3
2021-11-21,16
2021-11-28,21
2021-12-05,7
2021-12-12,14
2021-12-19,19
2021-12-26,16
2022-01-02,13
2022-01-09,4
2022-01-16,7
2022-01-23,15
2022-01-30,19
2022-02-06,4
